epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.507,2.39219,4.15686,1.77732,0.00396,0.2097,0.00258,0.0008,1.77955,4.41842,1.44914,2.727e-05,2.727e-05,2.727e-05
2,24.3182,2.14083,4.11607,1.57119,0.00638,0.31068,0.04797,0.01199,1.40769,4.2666,1.39032,6.30001e-05,6.30001e-05,6.30001e-05
3,36.6432,1.64981,3.85463,1.38239,0.01037,0.31068,0.13305,0.07841,1.56451,4.20479,1.3157,9.80102e-05,9.80102e-05,9.80102e-05
4,48.7091,1.61658,3.40382,1.32826,0.01925,0.3304,0.19716,0.12322,1.51253,4.09043,1.26795,0.0001323,0.0001323,0.0001323
5,60.3446,1.42822,2.86559,1.20455,0.03069,0.38211,0.22541,0.13224,1.44341,4.02574,1.26747,0.000165871,0.000165871,0.000165871
6,72.1182,1.40734,2.69836,1.20817,0.02836,0.38211,0.22131,0.12476,1.43621,3.95508,1.2589,0.000198721,0.000198721,0.000198721
7,83.2836,1.33901,2.40901,1.1352,0.02997,0.3737,0.22,0.13503,1.36003,3.83907,1.17415,0.000230851,0.000230851,0.000230851
8,94.6084,1.23899,2.22175,1.13508,0.02549,0.3737,0.22309,0.14197,1.35797,3.75813,1.14505,0.000262262,0.000262262,0.000262262
9,105.701,1.18537,2.14739,1.11596,0.02685,0.3737,0.21293,0.14629,1.33474,3.64491,1.16794,0.000292953,0.000292953,0.000292953
10,117.306,1.13644,1.88194,1.09636,0.94906,0.03896,0.25638,0.18775,1.19348,3.42999,1.10091,0.000322923,0.000322923,0.000322923
11,128.863,1.16758,1.77415,1.08963,0.01981,0.4669,0.27045,0.19515,1.28669,3.37228,1.15341,0.000352174,0.000352174,0.000352174
12,140.042,1.1038,1.60318,1.03155,0.82228,0.08071,0.32671,0.22805,1.24349,3.31585,1.13802,0.000380705,0.000380705,0.000380705
13,151.773,1.13474,1.68693,1.15534,0.89576,0.14322,0.43001,0.29781,1.18677,3.29192,1.14188,0.000408516,0.000408516,0.000408516
