epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5899,1.9735,4.18899,1.03716,0.00438,0.26711,0.07821,0.03611,1.4165,4.64501,1.02345,0.00015827,0.00015827,0.00015827
2,139.108,1.68117,2.45071,0.92093,0.00403,0.29211,0.21216,0.15878,1.30506,4.26578,0.98446,0.000318438,0.000318438,0.000318438
3,205.57,1.47329,1.87965,0.91664,0.00722,0.39126,0.21008,0.16992,1.29165,3.95475,1.02517,0.000472008,0.000472008,0.000472008
4,270.59,1.40788,1.6259,0.90771,0.01545,0.75208,0.59019,0.43294,1.30581,3.49721,1.11836,0.000618981,0.000618981,0.000618981
5,334.986,1.33507,1.42268,0.89949,0.97655,0.24895,0.65745,0.47657,1.11404,3.00575,1.04631,0.000759356,0.000759356,0.000759356
6,400.024,1.29331,1.35657,0.90416,0.71858,0.52114,0.69301,0.49992,1.104,2.46426,0.98186,0.000750533,0.000750533,0.000750533
7,465.055,1.27544,1.2974,0.90039,0.62744,0.66304,0.73951,0.54278,1.12017,1.91247,0.96628,0.00073404,0.00073404,0.00073404
8,1072.38,1.22888,1.24088,0.88329,0.64326,0.80025,0.76375,0.5573,1.0892,1.61481,1.01009,0.000717546,0.000717546,0.000717546
9,1144.58,1.21125,1.20062,0.89024,0.74942,0.77988,0.76647,0.56405,1.0996,1.53748,0.99165,0.000701053,0.000701053,0.000701053
10,1212.91,1.16997,1.10603,0.8721,0.65478,0.83292,0.77812,0.59463,1.01748,1.39809,0.9688,0.000684559,0.000684559,0.000684559
11,1282.57,1.12131,1.06248,0.87859,0.7116,0.85687,0.80982,0.61666,1.004,1.3325,0.94073,0.000668066,0.000668066,0.000668066
12,1349.99,1.08884,0.997,0.85368,0.78573,0.80304,0.8026,0.59463,1.02634,1.29662,0.97317,0.000651573,0.000651573,0.000651573
13,1417.5,1.10705,0.99712,0.87904,0.8767,0.78976,0.84775,0.6335,0.99687,1.24824,0.94591,0.000635079,0.000635079,0.000635079
14,1485.69,1.07217,0.94001,0.86946,0.90282,0.8196,0.86011,0.66528,0.98376,1.23863,0.94301,0.000618586,0.000618586,0.000618586
15,1552,1.07349,0.94161,0.86274,0.87074,0.84792,0.86685,0.66187,0.92032,1.20344,0.92888,0.000602092,0.000602092,0.000602092
16,1618.13,1.06009,0.92811,0.86619,0.90329,0.88103,0.88043,0.68097,0.89376,1.17187,0.92566,0.000585599,0.000585599,0.000585599
17,1686.36,1.05803,0.8895,0.85636,0.90256,0.83312,0.87285,0.67132,0.89093,1.14528,0.91948,0.000569106,0.000569106,0.000569106
18,1752.93,1.05007,0.90298,0.85685,0.91562,0.83387,0.87741,0.67028,0.89167,1.13119,0.90695,0.000552612,0.000552612,0.000552612
19,1819.97,1.06266,0.85416,0.84088,0.88576,0.8602,0.86825,0.67637,0.89941,1.1448,0.93581,0.000536119,0.000536119,0.000536119
20,1886.06,1.06174,0.83486,0.84514,0.91392,0.86375,0.87329,0.67388,0.99474,1.11305,0.97666,0.000519625,0.000519625,0.000519625
21,1954.22,1.0097,0.84274,0.85735,0.87877,0.87056,0.88135,0.68271,0.94569,1.12072,0.96254,0.000503132,0.000503132,0.000503132
22,2020.56,0.99436,0.84328,0.85686,0.86965,0.86916,0.88011,0.68874,0.89863,1.10197,0.93322,0.000486639,0.000486639,0.000486639
23,2087.28,0.98721,0.80443,0.84086,0.88093,0.87516,0.88174,0.69048,0.89109,1.0773,0.92064,0.000470145,0.000470145,0.000470145
24,2154.32,0.96452,0.78431,0.83552,0.87212,0.84801,0.88007,0.68468,0.92792,1.12848,0.94067,0.000453652,0.000453652,0.000453652
25,2218.95,0.96951,0.7832,0.84806,0.88352,0.84128,0.88705,0.69015,0.86993,1.02659,0.93168,0.000437158,0.000437158,0.000437158
26,2286.72,0.97005,0.78239,0.85459,0.85536,0.88958,0.87795,0.65908,0.88575,1.05557,0.94569,0.000420665,0.000420665,0.000420665
27,2356.33,0.94652,0.7515,0.83334,0.87862,0.84599,0.88495,0.69404,0.85059,1.06509,0.91816,0.000404172,0.000404172,0.000404172
28,2423.19,0.91847,0.75061,0.83481,0.892,0.85646,0.8708,0.67295,0.87155,1.02975,0.93099,0.000387678,0.000387678,0.000387678
29,2491.51,0.9538,0.76138,0.84309,0.89324,0.85732,0.87141,0.67615,0.9073,1.04897,0.93063,0.000371185,0.000371185,0.000371185
30,2558,0.92518,0.75861,0.83957,0.91864,0.8696,0.90074,0.71806,0.85217,0.97459,0.90023,0.000354691,0.000354691,0.000354691
31,2623.93,0.92083,0.72792,0.83715,0.85227,0.88944,0.89146,0.68027,0.85844,0.99035,0.91002,0.000338198,0.000338198,0.000338198
32,2688.48,0.92084,0.73187,0.83859,0.85552,0.89329,0.89316,0.68909,0.83126,0.95946,0.90881,0.000321705,0.000321705,0.000321705
33,2757.06,0.90817,0.69418,0.82923,0.91214,0.84131,0.88862,0.69189,0.8035,0.97752,0.90212,0.000305211,0.000305211,0.000305211
34,2824.2,0.89919,0.71001,0.83179,0.86943,0.88496,0.8973,0.69958,0.8433,0.9876,0.8954,0.000288718,0.000288718,0.000288718
35,2893.58,0.93542,0.70659,0.83123,0.90736,0.83559,0.88078,0.69533,0.80955,0.97381,0.89164,0.000272224,0.000272224,0.000272224
36,2961.61,0.86658,0.67606,0.82473,0.87321,0.88115,0.87887,0.70078,0.80438,0.97335,0.89578,0.000255731,0.000255731,0.000255731
37,3025.62,0.91042,0.68119,0.82395,0.88136,0.8464,0.8814,0.69936,0.80351,1.00013,0.9043,0.000239238,0.000239238,0.000239238
38,3093.3,0.90679,0.6863,0.82273,0.88974,0.87104,0.88434,0.71843,0.78749,0.96571,0.8926,0.000222744,0.000222744,0.000222744
39,3157.92,0.89671,0.6808,0.82944,0.90128,0.87915,0.8991,0.74719,0.78893,0.96193,0.90944,0.000206251,0.000206251,0.000206251
40,3224,0.88637,0.65763,0.82649,0.90824,0.87806,0.89516,0.73163,0.8059,0.96508,0.90342,0.000189757,0.000189757,0.000189757
41,3287.99,0.83025,0.70229,0.82842,0.90465,0.88063,0.90413,0.73737,0.78413,1.00085,0.90826,0.000173264,0.000173264,0.000173264
42,3352.24,0.82173,0.67089,0.82061,0.91309,0.87981,0.88662,0.71304,0.81366,0.94435,0.92638,0.000156771,0.000156771,0.000156771
43,3415.39,0.78972,0.65308,0.82363,0.89473,0.88062,0.9013,0.72349,0.82406,0.94408,0.92012,0.000140277,0.000140277,0.000140277
