epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8909,1.97477,4.30545,1.05304,0.0054,0.29211,0.14909,0.0867,1.44311,4.61309,1.03218,0.00014161,0.00014161,0.00014161
2,124.7,1.65056,2.48833,0.95539,0.0073,0.31724,0.20037,0.14914,1.3529,4.31351,0.99109,0.000285777,0.000285777,0.000285777
3,187.683,1.42126,1.9092,0.94292,0.00653,0.38776,0.14695,0.12836,1.16675,4.03118,0.95997,0.000424007,0.000424007,0.000424007
4,248.491,1.37192,1.6599,0.94412,0.8061,0.33326,0.55495,0.38698,1.25755,3.50261,1.02514,0.000556299,0.000556299,0.000556299
5,310.096,1.3344,1.47257,0.95795,0.96707,0.16504,0.65464,0.48351,1.21088,2.90282,1.02262,0.000682653,0.000682653,0.000682653
6,369.674,1.27585,1.3437,0.9304,0.96178,0.44018,0.71219,0.51034,1.22685,2.4267,1.00853,0.000750533,0.000750533,0.000750533
7,428.907,1.25972,1.29668,0.93098,0.6902,0.58788,0.73793,0.51283,1.20457,2.29529,1.01248,0.00073404,0.00073404,0.00073404
8,488.44,1.24813,1.27599,0.94269,0.77515,0.70177,0.75067,0.5424,1.07199,1.82338,0.98871,0.000717546,0.000717546,0.000717546
9,547.791,1.2161,1.18573,0.90579,0.76985,0.73025,0.77131,0.56099,1.10916,1.52176,0.96598,0.000701053,0.000701053,0.000701053
10,607.328,1.22143,1.129,0.90869,0.82179,0.69954,0.79254,0.56803,1.1345,1.40352,0.97805,0.000684559,0.000684559,0.000684559
11,667.464,1.14102,1.09486,0.90251,0.8605,0.71995,0.81228,0.59639,1.12116,1.42115,1.00541,0.000668066,0.000668066,0.000668066
12,728.155,1.13158,1.0535,0.88499,0.74727,0.80713,0.81887,0.62408,0.96074,1.30488,0.94522,0.000651573,0.000651573,0.000651573
13,791.061,1.13736,1.05226,0.89505,0.84094,0.81477,0.83115,0.61669,1.04522,1.38605,1.052,0.000635079,0.000635079,0.000635079
14,851.456,1.09908,0.9998,0.90182,0.85777,0.80022,0.85365,0.6485,0.96164,1.23118,0.9386,0.000618586,0.000618586,0.000618586
15,911.826,1.10893,0.99827,0.89343,0.81881,0.87295,0.87231,0.66852,0.97351,1.26538,0.95573,0.000602092,0.000602092,0.000602092
16,1210.81,1.07335,0.9485,0.88134,0.81524,0.85697,0.8744,0.67492,0.96053,1.23244,0.94429,0.000585599,0.000585599,0.000585599
17,1270.09,1.06314,0.9273,0.87844,0.89624,0.81859,0.88378,0.64454,1.02442,1.24566,0.99492,0.000569106,0.000569106,0.000569106
18,1329.17,1.07579,0.91513,0.86758,0.83494,0.88902,0.88442,0.66042,0.98955,1.1904,0.99063,0.000552612,0.000552612,0.000552612
19,1388.37,1.04293,0.93469,0.89462,0.89147,0.85327,0.88307,0.65755,0.98885,1.1844,0.98284,0.000536119,0.000536119,0.000536119
20,1447.49,1.03718,0.88439,0.86623,0.84834,0.85563,0.88928,0.68445,0.94618,1.21268,0.94796,0.000519625,0.000519625,0.000519625
21,1510.26,1.00144,0.85357,0.8719,0.86915,0.87266,0.90101,0.68217,0.95839,1.12922,0.93991,0.000503132,0.000503132,0.000503132
22,1572.18,1.01132,0.86779,0.88528,0.92581,0.84668,0.8999,0.66656,0.96559,1.13611,0.93173,0.000486639,0.000486639,0.000486639
