epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2073,1.95612,4.51116,1.0474,0.00441,0.25474,0.11465,0.06311,1.43454,4.65838,1.03081,0.00012495,0.00012495,0.00012495
2,140.013,1.69832,2.76376,0.95426,0.00375,0.29849,0.21163,0.17099,1.40287,4.41619,1.00623,0.000253117,0.000253117,0.000253117
3,207.856,1.59375,2.16077,0.94212,0.00494,0.37579,0.25728,0.19167,1.31483,4.04806,1.00388,0.000376006,0.000376006,0.000376006
4,274.937,1.40592,1.80428,0.93265,0.01344,0.61218,0.40285,0.31486,1.226,3.75831,1.01851,0.000493617,0.000493617,0.000493617
5,341.907,1.37274,1.58411,0.92432,0.01897,0.75792,0.60685,0.44904,1.23589,3.36012,1.03632,0.000605951,0.000605951,0.000605951
6,408.86,1.28551,1.4247,0.94034,0.94829,0.20651,0.61812,0.44751,1.19161,2.75006,1.07988,0.000713006,0.000713006,0.000713006
7,476.098,1.35964,1.42176,0.91374,0.79561,0.35751,0.65722,0.48856,1.21923,2.64861,1.06124,0.00073404,0.00073404,0.00073404
8,542.798,1.2965,1.30336,0.89488,0.76351,0.53128,0.66804,0.48931,1.19132,2.34426,1.07942,0.000717546,0.000717546,0.000717546
9,607.517,1.24088,1.26568,0.90717,0.72566,0.67085,0.72644,0.52848,1.10197,1.9115,1.00576,0.000701053,0.000701053,0.000701053
10,670.126,1.21017,1.21554,0.90179,0.75917,0.66523,0.76967,0.57575,1.06309,1.55578,0.9553,0.000684559,0.000684559,0.000684559
11,737.14,1.13016,1.11887,0.89536,0.83232,0.65465,0.7769,0.57367,1.03009,1.47862,0.96104,0.000668066,0.000668066,0.000668066
12,804.069,1.20359,1.16372,0.88631,0.76177,0.72784,0.78498,0.55479,1.13766,1.45582,0.99109,0.000651573,0.000651573,0.000651573
13,871.413,1.23756,1.12635,0.8799,0.76441,0.7691,0.76922,0.56626,1.14722,1.39501,0.98969,0.000635079,0.000635079,0.000635079
14,939.363,1.18361,1.05991,0.86668,0.78212,0.79982,0.83038,0.6197,1.08078,1.34636,0.97332,0.000618586,0.000618586,0.000618586
15,1009.3,1.12823,1.058,0.89283,0.88633,0.79126,0.86319,0.64994,1.01389,1.32387,0.96542,0.000602092,0.000602092,0.000602092
16,1072.4,1.07661,0.99371,0.86399,0.86824,0.76661,0.8305,0.62181,1.05598,1.25559,0.95915,0.000585599,0.000585599,0.000585599
17,1144.32,1.07683,1.00115,0.87392,0.89171,0.81884,0.87588,0.64798,0.95263,1.22046,0.96326,0.000569106,0.000569106,0.000569106
18,1207.3,1.06264,0.97736,0.86791,0.85302,0.83737,0.87034,0.66414,0.97286,1.19471,0.96774,0.000552612,0.000552612,0.000552612
19,1276.45,1.05865,0.93376,0.86771,0.92536,0.83981,0.86675,0.62542,1.05194,1.21012,0.9694,0.000536119,0.000536119,0.000536119
20,1346.41,1.01587,0.9198,0.8592,0.90886,0.8409,0.86497,0.65196,0.93318,1.1876,0.93513,0.000519625,0.000519625,0.000519625
21,1418.81,1.02862,0.87576,0.85729,0.90362,0.85495,0.86541,0.66517,0.92068,1.12358,0.93132,0.000503132,0.000503132,0.000503132
22,1492.53,1.05759,0.8844,0.85805,0.87284,0.83672,0.86843,0.66411,0.95459,1.1399,0.9372,0.000486639,0.000486639,0.000486639
23,1563.38,1.02939,0.90807,0.87153,0.91203,0.86293,0.86459,0.6564,0.95966,1.13677,0.92124,0.000470145,0.000470145,0.000470145
24,1635.36,0.98939,0.85279,0.85782,0.90577,0.85931,0.86242,0.65932,0.90744,1.13137,0.91113,0.000453652,0.000453652,0.000453652
25,1702.87,1.08826,0.90651,0.88053,0.91358,0.85603,0.86877,0.66257,0.92678,1.12976,0.92013,0.000437158,0.000437158,0.000437158
26,1770.11,0.96527,0.84006,0.85406,0.84272,0.89617,0.8571,0.66775,0.92778,1.10497,0.93176,0.000420665,0.000420665,0.000420665
27,1834.9,1.01447,0.86749,0.86378,0.85069,0.86891,0.8623,0.67071,0.90258,1.15878,0.92714,0.000404172,0.000404172,0.000404172
28,1899.32,0.97076,0.83469,0.85825,0.89998,0.8175,0.87057,0.69215,0.95058,1.15766,0.95101,0.000387678,0.000387678,0.000387678
29,1969.78,1.00887,0.79895,0.84769,0.89775,0.83775,0.86991,0.67126,0.92212,1.1273,0.92225,0.000371185,0.000371185,0.000371185
30,2033.15,0.98803,0.81956,0.85014,0.88739,0.84662,0.87475,0.67532,0.94489,1.08323,0.93009,0.000354691,0.000354691,0.000354691
31,2097.53,0.95534,0.82421,0.85633,0.87696,0.87811,0.88875,0.69124,0.8968,1.07347,0.92073,0.000338198,0.000338198,0.000338198
32,2168.74,0.94431,0.77953,0.83771,0.89441,0.88387,0.89242,0.68887,0.87643,1.03664,0.924,0.000321705,0.000321705,0.000321705
33,2238.47,0.93462,0.80094,0.85995,0.90439,0.8859,0.89394,0.68684,0.90741,1.01513,0.92181,0.000305211,0.000305211,0.000305211
34,2305.85,0.93035,0.74558,0.84132,0.90124,0.85824,0.88339,0.68504,0.8873,1.04766,0.92018,0.000288718,0.000288718,0.000288718
35,2372,0.95795,0.76392,0.8369,0.90566,0.85532,0.8786,0.67757,0.87194,1.00903,0.90936,0.000272224,0.000272224,0.000272224
36,2439,0.91448,0.74445,0.84411,0.91595,0.88637,0.89677,0.70213,0.85329,0.99223,0.90741,0.000255731,0.000255731,0.000255731
37,2504.22,0.91712,0.74209,0.83905,0.92113,0.88949,0.89745,0.6905,0.87004,0.99063,0.90576,0.000239238,0.000239238,0.000239238
38,2570.1,0.93969,0.74977,0.82945,0.8989,0.86309,0.89509,0.68972,0.849,0.97321,0.89933,0.000222744,0.000222744,0.000222744
39,2640.89,0.86888,0.72541,0.83364,0.90003,0.86225,0.89314,0.69488,0.85426,0.95838,0.91077,0.000206251,0.000206251,0.000206251
40,2717.6,0.8725,0.72675,0.83614,0.90872,0.8536,0.89143,0.69339,0.8549,0.95395,0.90602,0.000189757,0.000189757,0.000189757
41,2783.97,0.84041,0.75992,0.82335,0.84267,0.87582,0.8765,0.67339,0.85564,0.99394,0.90555,0.000173264,0.000173264,0.000173264
42,2849.8,0.82819,0.76403,0.83403,0.85375,0.89239,0.87272,0.6711,0.87782,1.04228,0.91882,0.000156771,0.000156771,0.000156771
43,2916.8,0.81292,0.72962,0.8303,0.88421,0.89083,0.88663,0.69066,0.86213,0.99156,0.90623,0.000140277,0.000140277,0.000140277
44,2982.96,0.7861,0.7027,0.83098,0.8814,0.89723,0.8958,0.70273,0.86818,0.97365,0.9028,0.000123784,0.000123784,0.000123784
45,3048.86,0.82787,0.73297,0.83927,0.88542,0.86808,0.89277,0.69866,0.88369,0.97711,0.90389,0.00010729,0.00010729,0.00010729
46,3114.84,0.81019,0.7125,0.83563,0.87451,0.87606,0.88158,0.68927,0.84682,0.94628,0.89286,9.0797e-05,9.0797e-05,9.0797e-05
47,3184.69,0.78048,0.70109,0.82871,0.87534,0.86973,0.89827,0.69327,0.87297,0.93006,0.90555,7.43036e-05,7.43036e-05,7.43036e-05
48,3250.05,0.7777,0.69397,0.82797,0.88001,0.87387,0.89624,0.70408,0.86482,0.93987,0.90851,5.78102e-05,5.78102e-05,5.78102e-05
49,3315.66,0.80256,0.69028,0.82517,0.87944,0.87835,0.89945,0.70628,0.85682,0.94677,0.9096,4.13168e-05,4.13168e-05,4.13168e-05
50,3382.4,0.77067,0.67583,0.82562,0.8876,0.87746,0.89738,0.70749,0.84862,0.93848,0.90134,2.48234e-05,2.48234e-05,2.48234e-05
