epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5146,1.9206,4.20142,1.03586,0.0055,0.2707,0.13055,0.06911,1.3787,4.44314,0.98314,0.00014161,0.00014161,0.00014161
2,126.901,1.63305,2.37191,0.93238,0.00388,0.26713,0.14864,0.0984,1.30244,4.16479,0.95314,0.000285777,0.000285777,0.000285777
3,189.249,1.39737,1.83646,0.91478,0.00925,0.42474,0.24662,0.19615,1.18522,3.83462,0.96629,0.000424007,0.000424007,0.000424007
4,250.776,1.39916,1.60232,0.95555,0.01738,0.69876,0.41588,0.30021,1.17435,3.55657,0.97402,0.000556299,0.000556299,0.000556299
5,316.561,1.32138,1.33444,0.91688,0.06168,0.7908,0.60772,0.44575,1.16409,3.09497,0.96382,0.000682653,0.000682653,0.000682653
6,379.207,1.32665,1.27152,0.91648,0.941,0.33912,0.66458,0.48228,1.07175,2.44306,0.9316,0.000750533,0.000750533,0.000750533
7,440.478,1.28125,1.2183,0.90897,0.6535,0.62293,0.68569,0.51308,1.09359,1.88933,0.95992,0.00073404,0.00073404,0.00073404
8,502.31,1.23342,1.16094,0.91755,0.71981,0.66145,0.71985,0.52236,1.11547,1.574,0.94938,0.000717546,0.000717546,0.000717546
9,564.621,1.17722,1.12762,0.89737,0.71053,0.72284,0.76936,0.58564,1.04659,1.49682,0.93843,0.000701053,0.000701053,0.000701053
10,1530.11,1.18897,1.10095,0.88272,0.76568,0.68613,0.77114,0.59744,0.98068,1.23628,0.92429,0.000684559,0.000684559,0.000684559
11,1624.54,1.1697,1.08074,0.89737,0.71872,0.74946,0.79778,0.61488,1.01838,1.22016,0.95081,0.000668066,0.000668066,0.000668066
12,1685.05,1.13489,1.02934,0.89647,0.72329,0.78988,0.81697,0.62391,0.99911,1.12772,0.9314,0.000651573,0.000651573,0.000651573
13,1745.59,1.12287,1.00391,0.88209,0.72305,0.87805,0.8223,0.61522,1.02561,1.12019,0.94689,0.000635079,0.000635079,0.000635079
14,1806.08,1.09192,0.98123,0.88345,0.80485,0.78782,0.83906,0.66268,0.93978,1.03748,0.92152,0.000618586,0.000618586,0.000618586
15,1866.47,1.11654,0.94818,0.88002,0.78988,0.88808,0.85223,0.67904,0.95471,1.03834,0.91853,0.000602092,0.000602092,0.000602092
16,1930.85,1.05608,0.91078,0.87758,0.8896,0.83775,0.85776,0.65954,0.99176,1.04046,0.91884,0.000585599,0.000585599,0.000585599
