epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1249,1.99847,4.84926,1.03079,0.00185,0.18833,0.13673,0.10003,1.64154,4.45252,1.05157,6.666e-05,6.666e-05,6.666e-05
2,25.888,2.00267,3.89393,0.99705,0.00559,0.18833,0.15483,0.09843,1.65492,4.31321,1.04593,0.00014157,0.00014157,0.00014157
3,38.6788,1.96995,2.62632,0.99409,0.00433,0.16333,0.14985,0.09802,1.64636,4.30216,1.03851,0.000213401,0.000213401,0.000213401
4,51.4636,1.82072,2.35571,0.93356,0.00428,0.16333,0.15111,0.09819,1.7269,4.22405,1.06803,0.000282152,0.000282152,0.000282152
5,64.5602,1.72688,2.12636,0.9661,0.00232,0.18833,0.14969,0.09938,1.64446,4.16879,1.01624,0.000347823,0.000347823,0.000347823
6,77.9628,1.70019,1.97086,0.95093,0.01269,0.20785,0.16104,0.09502,1.64983,4.11392,0.98919,0.000410415,0.000410415,0.000410415
7,91.8888,1.73542,1.99103,0.96438,0.00114,0.18833,0.13898,0.09216,1.61253,4.06121,1.02264,0.000469926,0.000469926,0.000469926
8,105.878,1.66401,1.83192,0.94675,0.0131,0.21272,0.12127,0.07384,1.73316,3.9451,1.06684,0.000526358,0.000526358,0.000526358
9,119.727,1.62472,1.78141,0.94938,0.0252,0.24329,0.17329,0.10191,1.5716,3.84029,1.07918,0.000579711,0.000579711,0.000579711
10,133.753,1.66417,1.65447,0.94484,0.04125,0.32362,0.19608,0.1054,1.58514,3.74668,1.05055,0.000629984,0.000629984,0.000629984
11,147.719,1.65854,1.71276,0.92593,0.0419,0.37862,0.34741,0.19402,1.55291,3.63907,1.05708,0.000677177,0.000677177,0.000677177
12,161.597,1.68234,1.58457,0.95913,1,0.09562,0.39036,0.23785,1.6326,3.16852,1.08089,0.00072129,0.00072129,0.00072129
13,175.445,1.53778,1.52038,0.93497,1,0.12874,0.44938,0.2722,1.65405,3.08097,1.08133,0.000762324,0.000762324,0.000762324
14,189.427,1.53662,1.4396,0.91937,0.98997,0.13311,0.52113,0.30091,1.62375,2.91095,1.11806,0.000800278,0.000800278,0.000800278
15,203.21,1.54965,1.4399,0.94149,0.97115,0.28476,0.55746,0.30709,1.5927,2.46259,1.0907,0.000803031,0.000803031,0.000803031
16,217.018,1.52936,1.37135,0.90951,0.82384,0.50972,0.60181,0.31885,1.72156,2.41624,1.12485,0.000781033,0.000781033,0.000781033
17,230.718,1.51462,1.39436,0.91226,0.80897,0.57683,0.56035,0.31462,1.73199,2.33179,1.13076,0.000759035,0.000759035,0.000759035
18,244.662,1.52165,1.3007,0.91493,0.64217,0.68326,0.61267,0.34842,1.67242,2.06662,1.11153,0.000737037,0.000737037,0.000737037
19,258.487,1.58098,1.29596,0.92801,0.64006,0.70457,0.59091,0.34157,1.73369,1.97814,1.1328,0.00071504,0.00071504,0.00071504
20,272.397,1.62351,1.32561,0.935,0.74636,0.63078,0.56065,0.334,1.67296,1.99923,1.10441,0.000693042,0.000693042,0.000693042
21,286.22,1.5689,1.27162,0.92511,0.7787,0.644,0.54632,0.32154,1.73691,1.95644,1.11079,0.000671044,0.000671044,0.000671044
22,300.049,1.50159,1.20549,0.90925,0.77772,0.6661,0.62326,0.3528,1.64067,1.69828,1.0858,0.000649046,0.000649046,0.000649046
23,314.089,1.47393,1.23626,0.92546,0.69201,0.71122,0.63574,0.36418,1.68709,1.66426,1.14062,0.000627048,0.000627048,0.000627048
24,327.995,1.4724,1.13819,0.9078,0.64629,0.71122,0.60685,0.34676,1.69339,1.64672,1.1803,0.000605051,0.000605051,0.000605051
25,341.97,1.57171,1.18801,0.91748,0.6427,0.71122,0.60381,0.32872,1.71213,1.61909,1.17553,0.000583053,0.000583053,0.000583053
26,355.76,1.44894,1.13253,0.90785,0.6462,0.68937,0.6368,0.337,1.62002,1.5327,1.1275,0.000561055,0.000561055,0.000561055
27,369.743,1.45741,1.1094,0.90344,0.60308,0.79246,0.61136,0.35619,1.52597,1.48185,1.081,0.000539057,0.000539057,0.000539057
28,383.605,1.39356,1.09864,0.89746,0.64408,0.71985,0.61791,0.32959,1.66974,1.55236,1.11944,0.000517059,0.000517059,0.000517059
29,397.522,1.43495,1.11416,0.90665,0.63575,0.73033,0.61515,0.32954,1.67833,1.5457,1.12684,0.000495062,0.000495062,0.000495062
30,411.539,1.38873,1.06208,0.91112,0.66183,0.70484,0.63127,0.362,1.54526,1.51076,1.10799,0.000473064,0.000473064,0.000473064
31,425.468,1.41707,1.09241,0.90886,0.68105,0.75975,0.68575,0.41769,1.55733,1.47619,1.10851,0.000451066,0.000451066,0.000451066
32,439.518,1.39252,1.06521,0.9064,0.6997,0.71362,0.69415,0.42338,1.46609,1.41853,1.06363,0.000429068,0.000429068,0.000429068
33,453.36,1.34421,0.99421,0.88825,0.68362,0.72051,0.69514,0.42049,1.47612,1.411,1.08716,0.00040707,0.00040707,0.00040707
34,467.266,1.38708,1.00714,0.90229,0.70796,0.75442,0.68178,0.38726,1.60508,1.47118,1.1263,0.000385073,0.000385073,0.000385073
35,481.108,1.42405,1.04297,0.87822,0.68741,0.73622,0.69033,0.38443,1.63875,1.53491,1.12085,0.000363075,0.000363075,0.000363075
36,495.088,1.41771,1.04605,0.88289,0.73846,0.67454,0.70615,0.39167,1.57217,1.46849,1.08957,0.000341077,0.000341077,0.000341077
37,509.219,1.41446,1.02846,0.89577,0.73269,0.6979,0.70431,0.3997,1.57537,1.42524,1.08603,0.000319079,0.000319079,0.000319079
38,523.085,1.32146,0.9751,0.89606,0.71091,0.71122,0.71493,0.41016,1.63916,1.43784,1.11164,0.000297081,0.000297081,0.000297081
39,536.979,1.34173,1.00167,0.89265,0.70389,0.71122,0.69623,0.40912,1.5974,1.41415,1.11495,0.000275084,0.000275084,0.000275084
40,550.929,1.40327,1.02548,0.89994,0.66564,0.71122,0.69819,0.42123,1.59028,1.40365,1.1179,0.000253086,0.000253086,0.000253086
41,564.543,1.34308,1.02309,0.9116,0.68171,0.71122,0.69716,0.42293,1.61809,1.41838,1.10512,0.000231088,0.000231088,0.000231088
42,578.448,1.37072,1.07053,0.90047,0.66787,0.70592,0.68205,0.42614,1.5775,1.43132,1.08335,0.00020909,0.00020909,0.00020909
43,592.128,1.35855,1.05969,0.91608,0.68425,0.76166,0.68838,0.41453,1.52304,1.40202,1.05714,0.000187092,0.000187092,0.000187092
44,605.873,1.35079,1.0473,0.90127,0.68095,0.7111,0.67704,0.40858,1.45769,1.35451,1.03835,0.000165095,0.000165095,0.000165095
45,619.705,1.33024,0.98793,0.9054,0.67672,0.71186,0.67246,0.41276,1.44328,1.34039,1.04499,0.000143097,0.000143097,0.000143097
46,633.471,1.30603,0.96749,0.8981,0.66109,0.75716,0.69366,0.42032,1.43496,1.31882,1.05546,0.000121099,0.000121099,0.000121099
47,647.192,1.31873,1.00675,0.89909,0.67693,0.81304,0.71408,0.4278,1.42188,1.29411,1.05545,9.91012e-05,9.91012e-05,9.91012e-05
48,660.907,1.28689,0.95456,0.89568,0.6987,0.80176,0.70906,0.43415,1.44246,1.28867,1.06037,7.71034e-05,7.71034e-05,7.71034e-05
49,674.687,1.28805,0.96513,0.89375,0.69736,0.80126,0.70949,0.43396,1.45641,1.29266,1.0645,5.51056e-05,5.51056e-05,5.51056e-05
50,688.453,1.30484,0.9431,0.9052,0.69656,0.79978,0.70923,0.43794,1.47235,1.30098,1.06956,3.31078e-05,3.31078e-05,3.31078e-05
